               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13261,             0.80315,             0.05882,                   0,                   0,                   0,                   0,             0.12783,             0.81787,            0.055976,              0.0964,              0.0004,              0.0004
                   1,             0.13027,             0.75231,            0.061525,                   0,                   0,                   0,                   0,             0.12684,             0.74989,            0.056028,            0.091882,          0.00088218,          0.00088218
                   2,             0.12329,             0.71589,            0.056222,                   0,                   0,                   0,                   0,             0.12684,             0.74989,            0.056028,            0.087345,           0.0013446,           0.0013446
                   3,             0.13003,             0.68623,            0.059113,                   0,                   0,                   0,                   0,             0.12684,             0.74989,            0.056028,            0.082787,           0.0017871,           0.0017871
                   4,             0.13594,             0.67288,            0.057179,                   0,                   0,                   0,                   0,             0.12481,             0.66396,            0.056347,             0.07821,           0.0022099,           0.0022099
                   5,             0.13318,             0.61934,            0.059007,                   0,                   0,                   0,                   0,             0.12481,             0.66396,            0.056347,            0.073613,           0.0026129,           0.0026129
                   6,             0.13246,             0.61204,            0.057048,                   0,                   0,                   0,                   0,             0.12481,             0.66396,            0.056347,            0.068996,           0.0029961,           0.0029961
                   7,             0.13182,             0.63109,            0.057829,                   0,                   0,                   0,                   0,             0.12481,             0.66396,            0.056347,            0.064359,           0.0033595,           0.0033595
                   8,             0.13325,             0.64868,            0.056974,                   0,                   0,                   0,                   0,             0.12481,             0.66396,            0.056347,            0.059703,            0.003703,            0.003703
                   9,              0.1295,             0.61305,            0.058891,                   0,                   0,                   0,                   0,             0.12481,             0.66396,            0.056347,            0.055027,           0.0040268,           0.0040268
                  10,             0.13102,             0.64109,            0.058212,                   0,                   0,                   0,                   0,             0.12481,             0.66396,            0.056347,            0.050331,           0.0043308,           0.0043308
                  11,             0.13368,             0.63768,            0.058664,                   0,                   0,                   0,                   0,             0.11989,             0.46506,            0.055707,            0.045615,            0.004615,            0.004615
                  12,              0.1283,             0.39857,            0.055822,                   0,                   0,                   0,                   0,             0.11989,             0.46506,            0.055707,            0.040879,           0.0048794,           0.0048794
                  13,             0.12503,             0.41904,            0.054864,                   0,                   0,                   0,                   0,             0.11989,             0.46506,            0.055707,            0.036124,           0.0051239,           0.0051239
                  14,             0.13198,             0.43872,            0.054813,                   0,                   0,                   0,                   0,             0.11989,             0.46506,            0.055707,            0.031349,           0.0053487,           0.0053487
                  15,             0.12557,             0.37417,            0.057081,                   0,                   0,                   0,                   0,             0.11989,             0.46506,            0.055707,            0.026554,           0.0055537,           0.0055537
                  16,             0.12618,             0.40661,            0.055452,                   0,                   0,                   0,                   0,             0.11989,             0.46506,            0.055707,            0.021739,           0.0057389,           0.0057389
                  17,             0.12666,             0.42112,            0.055448,                   0,                   0,                   0,                   0,             0.11989,             0.46506,            0.055707,            0.016904,           0.0059043,           0.0059043
                  18,             0.12512,             0.40999,            0.056621,                   0,                   0,                   0,                   0,             0.11989,             0.46506,            0.055707,             0.01205,           0.0060498,           0.0060498
                  19,             0.12745,             0.42771,            0.055883,                   0,                   0,                   0,                   0,             0.11989,             0.46506,            0.055707,           0.0071756,           0.0061756,           0.0061756
                  20,             0.12404,             0.39468,            0.056711,                   0,                   0,                   0,                   0,             0.11989,             0.46506,            0.055707,             0.00604,             0.00604,             0.00604
                  21,             0.12899,              0.4437,            0.055839,                   0,                   0,                   0,                   0,             0.11989,             0.46506,            0.055707,             0.00604,             0.00604,             0.00604
